percentile,rate
1.9999999999999998e-05,0.20765315
3.5e-05,0.3834868
5.2499999999999995e-05,0.55932045
7.5e-05,0.7351541
8.75e-05,0.91098773
0.000105,1.0868213
0.00013000000000000002,1.2626549
0.00014250000000000002,1.4384886
0.00016750000000000003,1.6143223
0.00019000000000000004,1.7901559
0.00020000000000000004,1.9659895
0.00022250000000000004,2.1418233
0.00024500000000000005,2.317657
0.00027000000000000006,2.4934905
0.00030500000000000004,2.6693242
0.00034750000000000004,2.8451579
0.00037000000000000005,3.0209916
0.00040750000000000004,3.1968253
0.00043500000000000006,3.3726587
0.00047750000000000006,3.5484924
0.0005225000000000001,3.7243261
0.0006000000000000001,3.9001596
0.00063,4.075993
0.00067,4.251827
0.0006925,4.4276605
0.0007425,4.603494
0.000785,4.779328
0.0008425,4.955161
0.00088,5.130995
0.0009400000000000001,5.3068285
0.001005,5.482662
0.00107,5.658496
0.00115,5.8343296
0.001225,6.0101633
0.00131,6.185997
0.001365,6.3618307
0.0014175,6.537664
0.0015125,6.7134976
0.001595,6.8893313
0.0016775000000000002,7.065165
0.0017800000000000001,7.2409987
0.001855,7.4168324
0.001965,7.592666
0.0020825,7.7684994
0.0021775,7.944333
0.0022775,8.120167
0.002385,8.2960005
0.00251,8.471834
0.0026025,8.647668
0.0026975000000000002,8.823502
0.0027775000000000005,8.999335
0.0028475000000000006,9.175169
0.0029675000000000005,9.351003
0.0031175000000000005,9.526836
0.0032650000000000005,9.70267
0.0034125000000000006,9.878503
0.0035550000000000004,10.054337
0.0036975000000000003,10.23017
0.0038450000000000003,10.406004
0.0039775,10.581838
0.0041,10.757671
0.004255,10.933505
0.0043925,11.109339
0.004585,11.285172
0.0047575,11.461006
0.0049025,11.63684
0.0050925,11.812674
0.0052525,11.988507
0.0053950000000000005,12.164341
0.005525,12.340175
0.005725,12.516008
0.0059075,12.691842
0.006110000000000001,12.867675
0.0062675000000000005,13.043509
0.0064175000000000005,13.219342
0.0066500000000000005,13.395176
0.0068475,13.57101
0.00704,13.746843
0.007245000000000001,13.922677
0.0074625,14.098511
0.007707500000000001,14.274344
0.007955,14.450178
0.008165,14.626012
0.00835,14.801846
0.0085875,14.977679
0.008865,15.153513
0.0091225,15.329347
0.009375,15.505179
0.009649999999999999,15.681013
0.009927499999999999,15.856847
0.010179999999999998,16.032682
0.010459999999999999,16.208515
0.010742499999999999,16.38435
0.011039999999999998,16.560183
0.011324999999999998,16.736017
0.011629999999999998,16.91185
0.011954999999999999,17.087683
0.012275,17.263517
0.012589999999999999,17.43935
0.012979999999999998,17.615185
0.013327499999999999,17.791018
0.01367,17.966852
0.014005,18.142685
0.014355,18.31852
0.014705,18.494352
0.0151125,18.670187
0.01547,18.84602
0.0158125,19.021854
0.016185,19.197687
0.016567500000000002,19.373522
0.016980000000000002,19.549355
0.01736,19.725187
0.017722500000000002,19.901022
0.0181725,20.076855
0.01856,20.25269
0.0189975,20.428522
0.019485,20.604357
0.01993,20.78019
0.0204275,20.956024
0.0208575,21.131857
0.021390000000000003,21.307692
0.021922500000000004,21.483524
0.022480000000000003,21.659359
0.023062500000000003,21.835192
0.023610000000000003,22.011026
0.024157500000000002,22.18686
0.024725,22.362694
0.0252625,22.538527
0.0258975,22.71436
0.026535,22.890194
0.0272025,23.066027
0.02783,23.241861
0.028452500000000002,23.417694
0.029165000000000003,23.593529
0.029765000000000003,23.769361
0.030445000000000003,23.945196
0.031180000000000003,24.121029
0.031947500000000004,24.296864
0.032720000000000006,24.472696
0.033522500000000004,24.648531
0.034342500000000005,24.824364
0.03514250000000001,25.000198
0.03592750000000001,25.176031
0.03669250000000001,25.351866
0.03763750000000001,25.527699
0.03851250000000001,25.703531
0.039430000000000014,25.879366
0.04037750000000001,26.055199
0.04136250000000001,26.231033
0.042365000000000014,26.406866
0.04333500000000001,26.5827
0.044342500000000014,26.758533
0.045350000000000015,26.934368
0.04647000000000002,27.1102
0.04754000000000002,27.286036
0.04864000000000002,27.461868
0.04980000000000002,27.637703
0.051005000000000016,27.813536
0.052032500000000016,27.98937
0.05331750000000002,28.165203
0.05449750000000002,28.341036
0.055785000000000015,28.51687
0.05711500000000001,28.692703
0.058360000000000016,28.868538
0.05975000000000002,29.04437
0.06102500000000002,29.220205
0.062487500000000015,29.396038
0.06397000000000001,29.571873
0.06531500000000001,29.747705
0.06688250000000001,29.92354
0.06848000000000001,30.099373
0.07004250000000001,30.275208
0.071745,30.45104
0.0734,30.626875
0.07519500000000001,30.802708
0.07698750000000001,30.97854
0.07867250000000002,31.154375
0.08039750000000002,31.330208
0.08240750000000002,31.506042
0.08422500000000002,31.681875
0.08609250000000002,31.85771
0.08807250000000001,32.033543
0.08991750000000001,32.209373
0.09198750000000001,32.38521
0.09402250000000001,32.561043
0.09609500000000001,32.736877
0.09823500000000002,32.91271
0.10046250000000001,33.088543
0.1025675,33.264378
0.1048675,33.440212
0.10723250000000001,33.616043
0.10966000000000001,33.791878
0.1120025,33.967712
0.114425,34.143543
0.116885,34.319378
0.1194375,34.495213
0.1220575,34.671047
0.1246,34.846878
0.12739,35.022713
0.1301475,35.198547
0.1329375,35.374382
0.13589749999999998,35.550213
0.13896749999999997,35.726048
0.14194999999999997,35.901882
0.14488499999999996,36.077717
0.14797749999999996,36.253548
0.15105749999999996,36.429382
0.15413999999999994,36.605217
0.15735249999999995,36.781048
0.16056749999999995,36.956882
0.16384499999999994,37.132717
0.16719999999999993,37.30855
0.17078499999999994,37.484383
0.17445749999999993,37.660217
0.17805249999999992,37.836052
0.18166249999999992,38.011887
0.18527749999999993,38.187717
0.18902499999999992,38.363552
0.19281249999999991,38.539387
0.1966449999999999,38.71522
0.2005174999999999,38.891052
0.2044749999999999,39.066887
0.2085674999999999,39.24272
0.2125749999999999,39.418552
0.2167899999999999,39.594387
0.2211999999999999,39.77022
0.2255924999999999,39.946056
0.22986999999999988,40.121887
0.23424499999999987,40.29772
0.23876249999999988,40.473557
0.24318999999999988,40.64939
0.24783249999999987,40.825222
0.25247749999999985,41.001057
0.25742499999999985,41.17689
0.26207499999999984,41.352726
0.26695999999999986,41.528557
0.2719624999999999,41.70439
0.27694999999999986,41.880226
