percentile,rate
4.75e-05,0.1819754
8.750000000000001e-05,0.35828853
0.000125,0.5346016
0.00017250000000000002,0.71091473
0.00021250000000000002,0.88722783
0.0002475,1.063541
0.00029,1.2398541
0.0003275,1.4161673
0.0003875,1.5924804
0.0004475,1.7687935
0.00049,1.9451066
0.00053,2.1214197
0.00056,2.2977328
0.0006374999999999999,2.4740458
0.0006875,2.650359
0.0007524999999999999,2.826672
0.0008199999999999999,3.0029852
0.0008724999999999999,3.1792984
0.0009424999999999999,3.3556113
0.0009975,3.5319245
0.0010474999999999998,3.7082376
0.0011074999999999998,3.8845508
0.0011724999999999997,4.060864
0.0012424999999999997,4.2371774
0.0013074999999999996,4.4134903
0.0013574999999999995,4.5898037
0.0014499999999999995,4.7661166
0.0015324999999999996,4.9424295
0.0015974999999999995,5.118743
0.0017099999999999995,5.295056
0.0017574999999999995,5.4713693
0.0018524999999999995,5.647682
0.0019374999999999996,5.823995
0.0020399999999999997,6.0003085
0.0021325,6.1766214
0.0022424999999999997,6.352935
0.002325,6.5292478
0.00242,6.7055607
0.0025225,6.881874
0.00265,7.058187
0.002745,7.2345004
0.00285,7.4108133
0.002965,7.5871263
0.0030900000000000003,7.7634397
0.0031850000000000003,7.9397526
0.0033225000000000004,8.116065
0.0034475000000000005,8.292378
0.0035725000000000006,8.468692
0.0037250000000000004,8.645004
0.0038950000000000005,8.821318
0.0040525000000000005,8.997631
0.004172500000000001,9.173944
0.004325000000000001,9.350257
0.0044575000000000005,9.52657
0.0045875,9.702884
0.004752500000000001,9.879196
0.0048875,10.05551
0.0050750000000000005,10.231823
0.0052275,10.408135
0.0054275,10.584449
0.005585,10.760762
0.005775,10.937076
0.0059475,11.113388
0.006147499999999999,11.289701
0.0063525,11.466015
0.00656,11.642327
0.00675,11.818641
0.006915,11.994954
0.0070975000000000005,12.1712675
0.007280000000000001,12.34758
0.007450000000000001,12.523893
0.007665000000000001,12.700207
0.007867500000000001,12.876519
0.008110000000000001,13.052833
0.00834,13.229146
0.00858,13.405458
0.008845,13.581772
0.0090875,13.758085
0.009325,13.934399
0.009595,14.110711
0.00989,14.2870245
0.010185,14.463338
0.010454999999999999,14.63965
0.010724999999999998,14.815964
0.011027499999999999,14.992277
0.0113525,15.16859
0.0116325,15.344903
0.011962500000000001,15.521216
0.012292500000000001,15.69753
0.012592500000000001,15.873842
0.012892500000000001,16.050156
0.013205000000000001,16.226469
0.013507500000000002,16.402782
0.013857500000000002,16.579096
0.014217500000000001,16.75541
0.01463,16.931723
0.015045000000000001,17.108036
0.015375000000000002,17.284348
0.015807500000000002,17.46066
0.016180000000000003,17.636974
0.016555000000000004,17.813288
0.016997500000000002,17.989601
0.017455000000000002,18.165915
0.017875000000000002,18.342228
0.018347500000000003,18.51854
0.018835,18.694853
0.0192925,18.871166
0.01985,19.04748
0.0203225,19.223793
0.0208425,19.400106
0.021335,19.57642
0.0218625,19.752731
0.0223525,19.929045
0.022850000000000002,20.105358
0.023405000000000002,20.281672
0.0239625,20.457985
0.02453,20.634298
0.025175,20.81061
0.0257825,20.986923
0.0263875,21.163237
0.0270575,21.33955
0.027682500000000002,21.515863
0.028332500000000004,21.692177
0.028977500000000003,21.86849
0.029692500000000004,22.044802
0.030395000000000005,22.221115
0.031017500000000007,22.397429
0.031720000000000005,22.573742
0.0324175,22.750055
0.0331775,22.926369
0.033972499999999996,23.102682
0.03480249999999999,23.278994
0.035649999999999994,23.455307
0.036552499999999995,23.63162
0.03738,23.807934
0.038259999999999995,23.984247
0.03910999999999999,24.16056
0.04005499999999999,24.336874
0.04108749999999999,24.513186
0.04207249999999999,24.689499
0.04314499999999999,24.865812
0.04419749999999999,25.042126
0.04519999999999999,25.21844
0.04621999999999999,25.394753
0.04728749999999999,25.571064
0.04834749999999999,25.747377
0.049442499999999986,25.92369
0.05063249999999998,26.100004
0.05179749999999998,26.276318
0.05293999999999998,26.452631
0.054344999999999984,26.628944
0.055579999999999984,26.805256
0.056809999999999986,26.98157
0.05805999999999999,27.157883
0.05939249999999999,27.334196
0.06073999999999999,27.51051
0.06216249999999999,27.686823
0.0635775,27.863136
0.065005,28.039448
0.0664775,28.215761
0.0680625,28.392075
0.06963,28.568388
0.0710975,28.744701
0.07273249999999999,28.921015
0.07441999999999999,29.097328
0.07604749999999999,29.27364
